dataset,arch,layer_percent,channel_percent,epoch,final_acc,best_acc
tinyimagenet200,vgg16_bn,0.6,0.6,100,10.99,11.39
tinyimagenet200,vgg16_bn,0.6,0.7,100,9.89,10.08
tinyimagenet200,vgg16_bn,0.6,0.9,100,8.45,8.8
tinyimagenet200,vgg16_bn,0.6,1,100,8.36,8.53
tinyimagenet200,vgg16_bn,0.7,0.4,100,15.37,16.65
tinyimagenet200,vgg16_bn,0.7,0.5,100,12.69,13.04
tinyimagenet200,vgg16_bn,0.7,0.6,100,10.11,10.49
tinyimagenet200,vgg16_bn,0.7,0.7,100,9.16,9.43
tinyimagenet200,vgg16_bn,0.7,0.9,100,8.13,8.53
tinyimagenet200,vgg16_bn,0.7,1,100,8.11,8.4
tinyimagenet200,vgg16_bn,0.9,0.4,100,13.72,14.42
tinyimagenet200,vgg16_bn,0.9,0.5,100,9.75,10.5
tinyimagenet200,vgg16_bn,0.9,0.6,100,8.09,8.43
tinyimagenet200,vgg16_bn,0.9,0.7,100,7.33,7.88
tinyimagenet200,vgg16_bn,0.9,0.9,100,6.9,7.43
tinyimagenet200,vgg16_bn,0.9,1,100,6.6,6.88
tinyimagenet200,vgg16_bn,1,0.4,100,9.02,9.02
tinyimagenet200,vgg16_bn,1,0.5,100,7.84,8.35
tinyimagenet200,vgg16_bn,1,0.6,100,6.83,7.44
tinyimagenet200,vgg16_bn,1,0.7,100,6.65,7.3
tinyimagenet200,vgg16_bn,1,0.9,100,5.78,5.9
tinyimagenet200,vgg16_bn,1,1,100,5.29,5.37
cifar10,resnet18,0.4,0.4,100,73.24,73.33
cifar10,resnet18,0.4,0.5,100,73.25,73.36
cifar10,resnet18,0.4,0.6,100,72.25,72.54
cifar10,resnet18,0.4,0.7,100,72.97,72.98
cifar10,resnet18,0.4,0.9,100,71.51,71.72
cifar10,resnet18,0.4,1,100,71.36,71.53
cifar10,resnet18,0.5,0.4,100,57.19,57.48
cifar10,resnet18,0.5,0.5,100,53.51,54.09
cifar10,resnet18,0.5,0.6,100,52.59,52.74
cifar10,resnet18,0.5,0.7,100,52.46,52.62
cifar10,resnet18,0.5,0.9,100,52.52,52.78
cifar10,resnet18,0.5,1,100,52.56,53.04
cifar10,resnet18,0.6,0.4,100,53.75,53.98
cifar10,resnet18,0.6,0.5,100,53.6,53.83
cifar10,resnet18,0.6,0.6,100,53.72,53.79
cifar10,resnet18,0.6,0.7,100,53.95,53.97
