run_id	epoch	split	loss	accuracy	best_accuracy
2024-08-09 11:45:47.910266	1	train	0.10613561153411866	1.0	1.0
2024-08-09 11:45:47.910266	1	test	0.08385401821136475	0.48727272727272725	0.48727272727272725
2024-08-09 11:45:47.910266	2	train	0.1059451961517334	1.0	1.0
2024-08-09 11:45:47.910266	2	test	0.0832367641102184	0.4727272727272727	0.48727272727272725
2024-08-09 11:45:47.910266	3	train	0.10591392517089844	0.0	1.0
2024-08-09 11:45:47.910266	3	test	0.08299958204789595	0.44727272727272727	0.48727272727272725
2024-08-09 11:45:47.910266	4	train	0.10563663005828858	2.0	2.0
2024-08-09 11:45:47.910266	4	test	0.08292393958351829	0.52	0.52
2024-08-09 11:45:47.910266	5	train	0.10542717456817627	1.0	2.0
2024-08-09 11:45:47.910266	5	test	0.08289589952989058	0.4290909090909091	0.52
2024-08-09 11:45:47.910266	6	train	0.1048198127746582	3.0	3.0
2024-08-09 11:45:47.910266	6	test	0.08289275693026456	0.5381818181818182	0.5381818181818182
2024-08-09 11:45:47.910266	7	train	0.1047108793258667	5.0	5.0
2024-08-09 11:45:47.910266	7	test	0.0828903936732899	0.6072727272727273	0.6072727272727273
2024-08-09 11:45:47.910266	8	train	0.10468867778778077	5.0	5.0
2024-08-09 11:45:47.910266	8	test	0.08288306303891269	0.6036363636363636	0.6072727272727273
2024-08-09 11:45:47.910266	9	train	0.10409048557281494	12.0	12.0
2024-08-09 11:45:47.910266	9	test	0.08288462359688499	0.5818181818181818	0.6072727272727273
2024-08-09 11:45:47.910266	10	train	0.10374926567077637	11.0	12.0
2024-08-09 11:45:47.910266	10	test	0.08289908742037687	0.5672727272727273	0.6072727272727273
