dataset,arch,layer_percent,channel_percent,epoch,final_acc,best_acc
tinyimagenet200,vgg16_bn,0.6,0.5,100,6.32,6.83
tinyimagenet200,vgg16_bn,0.6,0.6,100,6.93,7.36
tinyimagenet200,vgg16_bn,0.6,0.7,100,7.34,7.65
tinyimagenet200,vgg16_bn,0.6,0.8,100,7.61,7.92
tinyimagenet200,vgg16_bn,0.6,0.9,100,8.41,8.44
tinyimagenet200,vgg16_bn,0.7,0.4,100,6.7,6.98
tinyimagenet200,vgg16_bn,0.7,0.5,100,6.51,7.11
tinyimagenet200,vgg16_bn,0.7,0.6,100,7.08,7.27
tinyimagenet200,vgg16_bn,0.7,0.7,100,7.51,7.56
tinyimagenet200,vgg16_bn,0.7,0.8,100,7.36,7.65
tinyimagenet200,vgg16_bn,0.7,0.9,100,7.44,7.8
tinyimagenet200,vgg16_bn,0.8,0.4,100,6.65,6.97
tinyimagenet200,vgg16_bn,0.8,0.5,100,7.01,7.25
tinyimagenet200,vgg16_bn,0.8,0.6,100,6.41,6.96
tinyimagenet200,vgg16_bn,0.8,0.7,100,6.62,6.97
tinyimagenet200,vgg16_bn,0.8,0.8,100,6.59,6.95
tinyimagenet200,vgg16_bn,0.8,0.9,100,6.86,7.15
tinyimagenet200,vgg16_bn,0.9,0.4,100,6.65,6.99
tinyimagenet200,vgg16_bn,0.9,0.5,100,7.02,7.24
tinyimagenet200,vgg16_bn,0.9,0.6,100,6.44,7.04
tinyimagenet200,vgg16_bn,0.9,0.7,100,6.3,6.84
tinyimagenet200,vgg16_bn,0.9,0.8,100,6.61,6.94
tinyimagenet200,vgg16_bn,0.9,0.9,100,6.52,6.74
cifar10,resnet18,0.4,0.4,100,56.19,56.47
cifar10,resnet18,0.4,0.5,100,55.87,56.31
cifar10,resnet18,0.4,0.6,100,58.09,58.35
cifar10,resnet18,0.4,0.7,100,60.72,60.97
cifar10,resnet18,0.4,0.8,100,63.47,64.05
cifar10,resnet18,0.4,0.9,100,66.49,66.69
cifar10,resnet18,0.5,0.4,100,55.65,55.89
cifar10,resnet18,0.5,0.5,100,54.79,54.94
cifar10,resnet18,0.5,0.6,100,54.38,54.54
cifar10,resnet18,0.5,0.7,100,53.83,54.14
cifar10,resnet18,0.5,0.8,100,53.53,53.98
cifar10,resnet18,0.5,0.9,100,52.34,52.6
cifar10,resnet18,0.6,0.4,100,60.05,60.29
cifar10,resnet18,0.6,0.5,100,60.55,60.56
cifar10,resnet18,0.6,0.6,100,59.89,60.0
cifar10,resnet18,0.6,0.7,100,59.12,59.52
cifar10,resnet18,0.6,0.8,100,58.26,58.37
cifar10,resnet18,0.6,0.9,100,57.65,57.84
cifar10,resnet18,0.7,0.4,100,60.93,61.38
cifar10,resnet18,0.7,0.5,100,61.34,61.51
cifar10,resnet18,0.7,0.6,100,60.77,61.07
cifar10,resnet18,0.7,0.7,100,60.9,61.02
cifar10,resnet18,0.7,0.8,100,60.95,61.33
cifar10,resnet18,0.7,0.9,100,60.56,60.77
cifar10,resnet18,0.8,0.4,100,59.15,59.35
cifar10,resnet18,0.8,0.5,100,59.75,59.85
cifar10,resnet18,0.8,0.6,100,58.66,58.95
cifar10,resnet18,0.8,0.7,100,59.7,59.7
cifar10,resnet18,0.8,0.8,100,59.4,59.44
cifar10,resnet18,0.8,0.9,100,59.83,59.87
cifar10,resnet18,0.9,0.4,100,57.2,57.37
cifar10,resnet18,0.9,0.5,100,57.89,58.39
cifar10,resnet18,0.9,0.6,100,58.26,58.65
cifar10,resnet18,0.9,0.7,100,58.82,58.95
cifar10,resnet18,0.9,0.8,100,58.76,59.67
cifar10,resnet18,0.9,0.9,100,59.23,59.52
cifar10,alexnet,0.4,0.4,100,33.62,33.95
cifar10,alexnet,0.4,0.5,100,34.81,34.9
cifar10,alexnet,0.4,0.6,100,38.58,38.91
cifar10,alexnet,0.4,0.7,100,40.19,41.11
cifar10,alexnet,0.4,0.8,100,40.61,41.48
cifar10,alexnet,0.4,0.9,100,41.8,42.43
cifar10,alexnet,0.5,0.4,100,29.99,30.31
cifar10,alexnet,0.5,0.5,100,31.1,31.37
cifar10,alexnet,0.5,0.6,100,32.39,32.66
cifar10,alexnet,0.5,0.7,100,34.68,34.93
cifar10,alexnet,0.5,0.8,100,35.66,36.15
cifar10,alexnet,0.5,0.9,100,37.14,37.25
cifar10,alexnet,0.6,0.4,100,30.07,30.41
cifar10,alexnet,0.6,0.5,100,31.15,31.37
cifar10,alexnet,0.6,0.6,100,32.39,32.66
cifar10,alexnet,0.6,0.7,100,34.62,34.99
cifar10,alexnet,0.6,0.8,100,35.64,36.17
cifar10,alexnet,0.6,0.9,100,37.1,37.29
cifar10,alexnet,0.7,0.4,100,32.09,32.29
cifar10,alexnet,0.7,0.5,100,32.91,33.36
cifar10,alexnet,0.7,0.6,100,35.08,35.22
cifar10,alexnet,0.7,0.7,100,37.73,37.99
cifar10,alexnet,0.7,0.8,100,39.36,39.47
cifar10,alexnet,0.7,0.9,100,40.12,40.6
cifar10,alexnet,0.8,0.4,100,32.04,32.23
cifar10,alexnet,0.8,0.5,100,32.89,33.4
cifar10,alexnet,0.8,0.6,100,35.08,35.22
cifar10,alexnet,0.8,0.7,100,37.8,37.93
cifar10,alexnet,0.8,0.8,100,39.24,39.49
cifar10,alexnet,0.8,0.9,100,40.13,40.63
cifar10,alexnet,0.9,0.4,100,30.58,31.01
cifar10,alexnet,0.9,0.5,100,30.71,30.98
cifar10,alexnet,0.9,0.6,100,31.09,31.09
cifar10,alexnet,0.9,0.7,100,31.27,31.36
cifar10,alexnet,0.9,0.8,100,32.09,32.42
cifar10,alexnet,0.9,0.9,100,32.71,33.06
cifar10,vgg16_bn,0.4,0.4,100,51.61,51.61
cifar10,vgg16_bn,0.4,0.5,100,51.19,51.76
cifar10,vgg16_bn,0.4,0.6,100,55.13,55.99
cifar10,vgg16_bn,0.4,0.7,100,57.06,57.16
cifar10,vgg16_bn,0.4,0.8,100,64.88,65.2
cifar10,vgg16_bn,0.4,0.9,100,76.26,77.26
cifar10,vgg16_bn,0.5,0.4,100,51.09,51.29
cifar10,vgg16_bn,0.5,0.5,100,50.37,50.62
cifar10,vgg16_bn,0.5,0.6,100,50.76,51.07
cifar10,vgg16_bn,0.5,0.7,100,50.25,50.92
cifar10,vgg16_bn,0.5,0.8,100,51.91,52.62
cifar10,vgg16_bn,0.5,0.9,100,53.47,54.29
cifar10,vgg16_bn,0.6,0.4,100,49.96,49.99
cifar10,vgg16_bn,0.6,0.5,100,48.65,49.42
cifar10,vgg16_bn,0.6,0.6,100,50.3,50.8
cifar10,vgg16_bn,0.6,0.7,100,50.69,50.69
cifar10,vgg16_bn,0.6,0.8,100,51.4,51.85
cifar10,vgg16_bn,0.6,0.9,100,50.35,50.39
cifar10,vgg16_bn,0.7,0.4,100,49.53,50.71
cifar10,vgg16_bn,0.7,0.5,100,50.32,50.99
cifar10,vgg16_bn,0.7,0.6,100,51.08,51.47
cifar10,vgg16_bn,0.7,0.7,100,49.79,50.8
cifar10,vgg16_bn,0.7,0.8,100,50.45,50.49
cifar10,vgg16_bn,0.7,0.9,100,51.95,52.32
cifar10,vgg16_bn,0.8,0.4,100,50.09,50.64
cifar10,vgg16_bn,0.8,0.5,100,50.8,51.02
cifar10,vgg16_bn,0.8,0.6,100,49.63,49.7
cifar10,vgg16_bn,0.8,0.7,100,50.5,50.59
cifar10,vgg16_bn,0.8,0.8,100,50.05,50.35
cifar10,vgg16_bn,0.8,0.9,100,51.2,51.61
cifar10,vgg16_bn,0.9,0.4,100,48.93,49.19
cifar10,vgg16_bn,0.9,0.5,100,49.13,49.5
cifar10,vgg16_bn,0.9,0.6,100,50.04,50.04
cifar10,vgg16_bn,0.9,0.7,100,48.54,49.29
cifar10,vgg16_bn,0.9,0.8,100,48.32,48.8
cifar10,vgg16_bn,0.9,0.9,100,49.06,49.46
cifar100,alexnet,0.4,0.4,100,5.79,5.88
cifar100,alexnet,0.4,0.5,100,7.2,7.27
cifar100,alexnet,0.4,0.6,100,8.8,8.96
cifar100,alexnet,0.4,0.7,100,10.17,10.17
cifar100,alexnet,0.4,0.8,100,11.39,11.54
cifar100,alexnet,0.4,0.9,100,11.97,12.23
cifar100,alexnet,0.5,0.4,100,3.61,3.7
cifar100,alexnet,0.5,0.5,100,4.21,4.21
cifar100,alexnet,0.5,0.6,100,4.95,5.08
cifar100,alexnet,0.5,0.7,100,5.96,6.11
cifar100,alexnet,0.5,0.8,100,6.62,6.64
cifar100,alexnet,0.5,0.9,100,7.31,7.6
cifar100,alexnet,0.6,0.4,100,3.6,3.67
cifar100,alexnet,0.6,0.5,100,4.21,4.21
cifar100,alexnet,0.6,0.6,100,4.95,5.11
cifar100,alexnet,0.6,0.7,100,6.02,6.13
cifar100,alexnet,0.6,0.8,100,6.58,6.69
cifar100,alexnet,0.6,0.9,100,7.25,7.61
cifar100,alexnet,0.7,0.4,100,1.0,1.0
cifar100,alexnet,0.7,0.5,100,1.08,1.1
cifar100,alexnet,0.7,0.6,100,1.49,1.52
cifar100,alexnet,0.7,0.7,100,1.54,1.61
cifar100,alexnet,0.7,0.8,100,1.61,1.62
cifar100,alexnet,0.7,0.9,100,2.04,2.04
cifar100,alexnet,0.8,0.4,100,1.0,1.0
cifar100,alexnet,0.8,0.5,100,1.08,1.1
cifar100,alexnet,0.8,0.6,100,1.49,1.52
cifar100,alexnet,0.8,0.7,100,1.54,1.61
cifar100,alexnet,0.8,0.8,100,1.61,1.63
cifar100,alexnet,0.8,0.9,100,2.04,2.04
cifar100,alexnet,0.9,0.4,100,1.18,1.18
cifar100,alexnet,0.9,0.5,100,1.83,1.86
cifar100,alexnet,0.9,0.6,100,1.83,1.88
cifar100,alexnet,0.9,0.7,100,1.84,1.95
cifar100,alexnet,0.9,0.8,100,1.87,1.96
cifar100,alexnet,0.9,0.9,100,1.7,1.82
cifar100,vgg16_bn,0.4,0.4,100,16.94,17.49
cifar100,vgg16_bn,0.4,0.5,100,20.2,20.62
cifar100,vgg16_bn,0.4,0.6,100,30.0,30.0
cifar100,vgg16_bn,0.4,0.7,100,45.9,46.3
cifar100,vgg16_bn,0.4,0.8,100,55.46,55.93
cifar100,vgg16_bn,0.4,0.9,100,62.36,62.83
cifar100,vgg16_bn,0.5,0.4,100,15.57,15.99
cifar100,vgg16_bn,0.5,0.5,100,15.74,16.29
cifar100,vgg16_bn,0.5,0.6,100,18.03,18.24
cifar100,vgg16_bn,0.5,0.7,100,29.84,30.03
cifar100,vgg16_bn,0.5,0.8,100,46.25,46.89
cifar100,vgg16_bn,0.5,0.9,100,55.48,55.8
cifar100,vgg16_bn,0.6,0.4,100,14.16,14.41
cifar100,vgg16_bn,0.6,0.5,100,14.25,14.71
cifar100,vgg16_bn,0.6,0.6,100,14.89,15.18
cifar100,vgg16_bn,0.6,0.7,100,16.14,16.39
cifar100,vgg16_bn,0.6,0.8,100,17.56,17.61
cifar100,vgg16_bn,0.6,0.9,100,19.99,20.71
cifar100,vgg16_bn,0.7,0.4,100,14.6,14.63
cifar100,vgg16_bn,0.7,0.5,100,14.21,14.77
cifar100,vgg16_bn,0.7,0.6,100,14.99,14.99
cifar100,vgg16_bn,0.7,0.7,100,14.82,14.93
cifar100,vgg16_bn,0.7,0.8,100,15.27,15.65
cifar100,vgg16_bn,0.7,0.9,100,16.04,16.3
cifar100,vgg16_bn,0.8,0.4,100,14.14,14.19
cifar100,vgg16_bn,0.8,0.5,100,13.67,13.89
cifar100,vgg16_bn,0.8,0.6,100,13.55,14.1
cifar100,vgg16_bn,0.8,0.7,100,13.43,13.89
cifar100,vgg16_bn,0.8,0.8,100,13.79,14.01
cifar100,vgg16_bn,0.8,0.9,100,13.65,14.04
cifar100,vgg16_bn,0.9,0.4,100,13.42,13.91
cifar100,vgg16_bn,0.9,0.5,100,13.44,13.9
cifar100,vgg16_bn,0.9,0.6,100,12.8,13.42
cifar100,vgg16_bn,0.9,0.7,100,12.72,13.24
cifar100,vgg16_bn,0.9,0.8,100,12.83,13.11
cifar100,vgg16_bn,0.9,0.9,100,12.82,13.3
