run_id	epoch	split	loss	accuracy	best_accuracy
2024-08-09 17:35:58.389378	1	train	0.09312156677246093	12.0	12.0
2024-08-09 17:35:58.389378	1	test	0.09255681689869273	0.5745454545454546	0.5745454545454546
2024-08-09 17:35:58.389378	2	train	0.05440567970275879	40.0	40.0
2024-08-09 17:35:58.389378	2	test	0.09172023599798029	0.7818181818181819	0.7818181818181819
2024-08-09 17:35:58.389378	3	train	0.031364480257034304	65.0	65.0
2024-08-09 17:35:58.389378	3	test	0.08480839926979758	3.7381818181818183	3.7381818181818183
2024-08-09 17:35:58.389378	4	train	0.01845220148563385	85.0	85.0
2024-08-09 17:35:58.389378	4	test	0.07208177075819536	12.229090909090909	12.229090909090909
2024-08-09 17:35:58.389378	5	train	0.0113829505443573	93.0	93.0
2024-08-09 17:35:58.389378	5	test	0.0614102331941778	21.563636363636363	21.563636363636363
2024-08-09 17:35:58.389378	6	train	0.006137122511863709	97.0	97.0
2024-08-09 17:35:58.389378	6	test	0.05487762786691839	28.072727272727274	28.072727272727274
2024-08-09 17:35:58.389378	7	train	0.0037309683859348295	97.0	97.0
2024-08-09 17:35:58.389378	7	test	0.05171797154166482	31.87272727272727	31.87272727272727
2024-08-09 17:35:58.389378	8	train	0.003619154468178749	98.0	98.0
2024-08-09 17:35:58.389378	8	test	0.050090328840775925	33.43272727272727	33.43272727272727
2024-08-09 17:35:58.389378	9	train	0.002121002674102783	99.0	99.0
2024-08-09 17:35:58.389378	9	test	0.0493561727697199	34.196363636363635	34.196363636363635
2024-08-09 17:35:58.389378	10	train	0.0019688351452350618	100.0	100.0
2024-08-09 17:35:58.389378	10	test	0.04902485570907593	34.56	34.56
